,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.058083013,0.102062315,0.0045603183,0.02696882,17.551899,9.171519
1,0.0042853733,0.028313426,0.003947212,0.020150963,10.153832,8.398987
2,0.004217106,0.026918864,0.003969239,0.019216284,10.012423,8.269423
3,0.0041856696,0.02617119,0.0039999904,0.019232469,9.936082,8.266348
4,0.004156617,0.025693964,0.0038591328,0.019029502,9.886324,8.214427
5,0.0041602883,0.025480388,0.003921193,0.017580323,9.862042,8.076994
6,0.0041558007,0.025378205,0.0038625062,0.019244606,9.855103,8.227976
7,0.004139028,0.02520784,0.0039306358,0.018964825,9.840008,8.17644
8,0.0041318326,0.025071394,0.0039222445,0.01896903,9.823662,8.19952
9,0.004138705,0.025037829,0.0039145136,0.019336207,9.816349,8.228061
10,0.0041406513,0.024996247,0.003896206,0.02050223,9.805185,8.312839
11,0.0041232044,0.02495842,0.003864126,0.019688278,9.805385,8.237052
12,0.004147909,0.024916437,0.0037725416,0.020591935,9.802696,8.324959
13,0.0041238093,0.024755912,0.0037179387,0.020282151,9.781164,8.288756
14,0.0041636764,0.024877863,0.0038469993,0.02022936,9.792318,8.295106
15,0.00413768,0.024734031,0.003710637,0.020094154,9.785059,8.271709
16,0.0041253227,0.024639891,0.0038743287,0.020523963,9.775006,8.319896
17,0.004124812,0.024665076,0.0037523995,0.020680845,9.771757,8.314567
18,0.004125457,0.024620507,0.003764598,0.020433987,9.772164,8.312699
19,0.004127966,0.024605043,0.003766475,0.020011654,9.769968,8.270902
20,0.0041180574,0.0246577,0.0038368583,0.021190658,9.774176,8.429735
21,0.00412251,0.024708206,0.0037017153,0.0198204,9.775322,8.271935
22,0.0041233995,0.024587985,0.0038108148,0.020213882,9.7654085,8.299479
23,0.0041225655,0.024453985,0.003811342,0.020605389,9.751543,8.339003
24,0.0041437806,0.024534449,0.0037570016,0.02078417,9.756579,8.318747
25,0.0041094357,0.024506222,0.0038258792,0.02065398,9.758479,8.333983
26,0.00412051,0.02452471,0.0038504251,0.019730005,9.76372,8.230724
27,0.0041230605,0.02450332,0.0037744069,0.021406373,9.759144,8.38417
28,0.004118737,0.024397653,0.0037916244,0.020606944,9.746113,8.35761
29,0.0041166283,0.024515612,0.0038565486,0.02098316,9.763994,8.385552
30,0.004109146,0.02443286,0.0038564866,0.020525383,9.744927,8.338877
31,0.004124025,0.0244764,0.0037891143,0.020801304,9.75248,8.344266
32,0.004106496,0.024525791,0.003728431,0.020914188,9.75786,8.354766
