loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.047186986,0.07817622,0.003950489,0.019106237,15.098623,8.2817545
0.004149949,0.02548442,0.003858606,0.018153658,9.855486,8.188159
0.0041168253,0.024939196,0.0038548326,0.018662965,9.803757,8.258873
0.0041070427,0.024655867,0.003856841,0.019138303,9.770339,8.275246
0.0040938254,0.024490291,0.0037383668,0.017898403,9.750968,8.106496
0.0040833997,0.024375243,0.0037951057,0.018770352,9.739446,8.219771
0.0040761544,0.02423234,0.0037818272,0.018735824,9.717028,8.14901
0.004072174,0.02411379,0.0037613257,0.018977184,9.705513,8.201668
0.004076238,0.024199473,0.003847067,0.019416587,9.71274,8.267763
0.004066494,0.02406221,0.0038460921,0.019733148,9.705104,8.312673
0.0040629455,0.02400784,0.0038298026,0.019970892,9.696471,8.29838
0.004066098,0.023958351,0.0038187564,0.019621285,9.692862,8.282498
0.0040697884,0.02399411,0.0037794192,0.019449832,9.695908,8.243232
0.004054724,0.023937536,0.003775645,0.019111883,9.680558,8.221347
0.004060732,0.024061307,0.0037878447,0.018512558,9.696779,8.1398735
0.0040634903,0.024019212,0.003758185,0.020183006,9.692555,8.271242
0.004058689,0.024012178,0.0037085752,0.018991016,9.696855,8.182349
0.0040568574,0.02396242,0.0037437903,0.018462958,9.687215,8.141589
0.0040638554,0.023966398,0.0037972147,0.020164518,9.691539,8.30424
0.0040538497,0.02388468,0.0037528786,0.018978626,9.673672,8.14649
0.0040610894,0.023969958,0.0037929951,0.01946458,9.682347,8.200678
0.0040497887,0.023958227,0.0037820174,0.018063812,9.67545,8.0855665
0.004046651,0.023963222,0.003725661,0.018117087,9.668751,8.089865
0.004039483,0.023964824,0.0037323898,0.019737666,9.668741,8.2283
0.0040290616,0.023975367,0.0036649865,0.0202329,9.656882,8.209727
0.0040136706,0.023819048,0.0036847468,0.018206408,9.63782,8.059778
0.0040098126,0.023886908,0.0036910698,0.021212775,9.630007,8.299622
0.0040136282,0.023875667,0.0037292833,0.021760814,9.635202,8.301572
0.003999168,0.023796659,0.0036856232,0.020411732,9.620696,8.257127
0.0039956435,0.023900738,0.0036627322,0.01964332,9.633769,8.1110735
0.0039831754,0.023702448,0.0036432985,0.019610502,9.604118,8.06398
0.003982153,0.023694102,0.0036535328,0.02028115,9.595084,8.157842
0.003978504,0.02374859,0.003628039,0.021721395,9.592708,8.294948
0.0039788424,0.023712892,0.003645141,0.019769989,9.598441,8.092136
0.0039624013,0.023683324,0.0036387534,0.019255577,9.575604,8.085079
0.003955245,0.023691488,0.0036248919,0.019597957,9.57039,8.114156
0.003945804,0.023697978,0.0035945477,0.01926988,9.564438,8.060498
0.0039425446,0.023734719,0.0036328912,0.019680263,9.56338,8.060885
0.0039173104,0.023635525,0.003662941,0.019936899,9.527211,8.056587
0.003915038,0.023689035,0.003578108,0.019771503,9.529832,8.038076
0.0038805183,0.023552718,0.0035579833,0.019947283,9.512654,8.070039
0.0038607814,0.02351442,0.0035157166,0.020219268,9.486058,8.079482
0.0038513157,0.023615818,0.0035459925,0.024166867,9.454124,8.433973
