,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.01577183,0.036079746,0.0015046156,0.009836213,8.5523615,3.5557532
1,0.0017137002,0.011819193,0.0014981375,0.011194809,6.1514673,3.688236
2,0.0017180068,0.01207081,0.0014681759,0.008922093,6.174847,3.4712906
3,0.0017102009,0.011916265,0.0014937944,0.011934615,6.15785,3.758642
4,0.0017127435,0.012046764,0.0015027808,0.009298241,6.1710243,3.5042834
5,0.0017182111,0.012156579,0.001541229,0.011251766,6.181323,3.7012022
6,0.0017240347,0.012359747,0.0015470287,0.009810036,6.202766,3.5596402
7,0.001722758,0.012454121,0.0015261605,0.010984336,6.2119217,3.6728356
8,0.0017312694,0.012743965,0.0015524077,0.013483791,6.2398014,3.9101787
9,0.0017252251,0.012514706,0.0014735847,0.010233359,6.2172036,3.597583
10,0.0017302609,0.012701851,0.0015473699,0.0089340145,6.2387567,3.4696355
11,0.0017264957,0.0125741325,0.0015295389,0.010492954,6.223308,3.6269028
12,0.001731129,0.012606188,0.0015283293,0.009224754,6.226186,3.4989603
13,0.0017279702,0.012691937,0.0015479424,0.01289022,6.2349305,3.8562453
14,0.0017250403,0.012613238,0.0015211792,0.009541607,6.2274394,3.5329452
15,0.0017329707,0.012896893,0.0015218158,0.0098191975,6.251108,3.5586069
16,0.0017272334,0.012606767,0.0015195018,0.010320902,6.224608,3.6060185
17,0.0017216855,0.012488091,0.0015207607,0.0093818875,6.2112303,3.5135896
18,0.0017214946,0.012403206,0.0015127227,0.008978123,6.2052083,3.4782813
19,0.0017212215,0.012471052,0.0015262926,0.0097921975,6.2099075,3.5556562
20,0.0017191138,0.012494494,0.0014910124,0.010502196,6.2138205,3.6212072
21,0.0017208195,0.012448672,0.0015680424,0.009344721,6.206565,3.50954
22,0.0017167386,0.012486169,0.0015060763,0.008081733,6.2036686,3.3856938
23,0.0017194346,0.012589527,0.0015001405,0.010623865,6.220892,3.6274745
24,0.001714351,0.012469804,0.0015381406,0.008240448,6.2085276,3.4012907
25,0.0017237653,0.012387617,0.0015350231,0.009953261,6.196366,3.5677788
26,0.0017163173,0.012484868,0.0015269433,0.012024263,6.2087774,3.7592568
27,0.0017124914,0.012361332,0.0015435213,0.01165653,6.1985793,3.725891
28,0.001708529,0.012337535,0.0015583974,0.012148213,6.190913,3.774756
29,0.0017136782,0.012463534,0.001577938,0.009851587,6.205393,3.5753083
30,0.0017207616,0.012300685,0.0015144977,0.010767702,6.18853,3.6492593
31,0.0017076838,0.01234705,0.0014677963,0.011222857,6.192374,3.6869693
32,0.001711767,0.012339869,0.0014797737,0.011906372,6.1907954,3.747802
33,0.0017097825,0.012359335,0.0015014311,0.008587667,6.1934333,3.4280481
34,0.0017068401,0.012254105,0.0014903974,0.010466161,6.180061,3.6107388
35,0.0017123875,0.012307113,0.0015122403,0.009182321,6.187005,3.4904213
36,0.0017113906,0.012499321,0.0015353132,0.009537244,6.2098923,3.5191104
37,0.0017069031,0.012123829,0.0014873581,0.009703024,6.171022,3.541988
38,0.0017053025,0.012260652,0.0015167086,0.009112648,6.180822,3.480997
39,0.001705633,0.012232718,0.0014899408,0.013859257,6.1781282,3.9379914
40,0.0017086318,0.012350555,0.0015246706,0.009470293,6.1877937,3.5308702
41,0.0017132466,0.012304541,0.0015829178,0.009690918,6.181919,3.5480165
42,0.0017072969,0.012308872,0.001488548,0.010963437,6.1824226,3.658137
43,0.0017100775,0.012368564,0.0015079901,0.010135722,6.1889734,3.582436
44,0.0017021212,0.012226124,0.0015159507,0.01551964,6.1758714,4.098148
45,0.0017050817,0.012289937,0.0015088666,0.009413748,6.181446,3.5101047
46,0.0017044354,0.01224909,0.0015223479,0.010258812,6.1766977,3.5942218
47,0.001704255,0.012431494,0.001471452,0.009817113,6.193093,3.5468876
48,0.0016998993,0.012262878,0.0014843191,0.009794637,6.1774993,3.5454793
49,0.0016975971,0.0121599715,0.001497598,0.011100597,6.1618915,3.6683118
50,0.0017027301,0.012295249,0.0015201591,0.011293584,6.1837225,3.68889
51,0.0017037719,0.012134147,0.0014811252,0.012560419,6.1647797,3.8122804
52,0.0017040375,0.012372507,0.001545953,0.009850267,6.187945,3.5485196
53,0.0017025842,0.012431751,0.0014420927,0.011668584,6.1945653,3.7243881
54,0.0016943809,0.012063537,0.001469303,0.012025653,6.156685,3.7581594
55,0.0016986221,0.012293965,0.0014889928,0.012141102,6.1807165,3.770233
56,0.0016961084,0.012137966,0.0015005711,0.009523657,6.1646895,3.512904
57,0.0016973239,0.012136317,0.0014717199,0.009656501,6.1659217,3.5299582
58,0.0016989108,0.012258554,0.0015155971,0.010200123,6.1762714,3.5817206
59,0.0016950972,0.012178522,0.0015081966,0.009625053,6.1667523,3.5262077
60,0.0016930384,0.012104612,0.001469178,0.011873701,6.1585054,3.74277
61,0.0016943354,0.012312632,0.0015017933,0.012651028,6.1801095,3.8192322
62,0.0016949871,0.012125263,0.0014533222,0.010847182,6.1601515,3.6461666
63,0.0016961809,0.012216949,0.0014860189,0.012200818,6.1694813,3.7719512
64,0.0016943882,0.012283929,0.0015311048,0.0142672,6.175961,3.9715354
65,0.0016978957,0.0123660425,0.0015076646,0.013385814,6.1842737,3.8885686
66,0.0016901981,0.012069168,0.0015386029,0.010139921,6.1535482,3.572906
67,0.0016917924,0.012121928,0.0014974269,0.009427233,6.1590247,3.5044155
68,0.0016947595,0.012248675,0.001507063,0.00963315,6.169075,3.5235288
69,0.0016880538,0.012133634,0.001477053,0.009037522,6.158901,3.4697585
70,0.0016905344,0.012137617,0.0014850806,0.013953942,6.158675,3.9451983
71,0.0016915626,0.012250746,0.0015077934,0.009998872,6.1732545,3.5588806
72,0.0016908705,0.012129815,0.0014813789,0.008903077,6.157365,3.4574203
73,0.0016866049,0.012139869,0.0015339392,0.011129113,6.1603513,3.666218
74,0.0016828488,0.01202403,0.0014690692,0.010975634,6.145277,3.6530674
75,0.0016851638,0.012169451,0.0015208068,0.011667152,6.1581373,3.7197404
76,0.0016789082,0.012182003,0.00149337,0.0078990515,6.156966,3.3601928
77,0.0016776003,0.012128466,0.0014986172,0.009296911,6.1482863,3.4914503
78,0.0016768681,0.012143347,0.0014948323,0.01255957,6.148413,3.805689
79,0.00167634,0.012095156,0.0015446754,0.0124929035,6.1368265,3.798196
80,0.0016755385,0.012103823,0.0015161949,0.0103597315,6.142839,3.5919216
81,0.0016744978,0.012106494,0.0015082846,0.009352854,6.1382737,3.4954457
82,0.0016701123,0.011937635,0.0014888134,0.010656584,6.1182055,3.617431
83,0.0016715069,0.012074961,0.0014547964,0.009327927,6.131512,3.4916723
84,0.0016693762,0.012028294,0.0014902537,0.009575323,6.1224174,3.5167384
85,0.0016679233,0.012033517,0.0015156143,0.011114637,6.12396,3.6635199
86,0.001660118,0.0122450385,0.001475744,0.011105076,6.143434,3.654209
87,0.0016531711,0.012133292,0.0014672795,0.009507832,6.1242723,3.4947653
88,0.0016479545,0.01220675,0.0014329795,0.011382595,6.1237993,3.6752636
89,0.0016393899,0.012278559,0.0014442903,0.009136852,6.1205807,3.4599001
90,0.0016337972,0.01218826,0.0014829111,0.010076282,6.106981,3.5471413
91,0.0016298922,0.012016982,0.0014589798,0.010542069,6.089566,3.5846107
92,0.0016292805,0.012153011,0.0014405693,0.011075026,6.099534,3.6372032
93,0.0016273652,0.012276028,0.001487686,0.009193103,6.1108007,3.455368
94,0.0016166242,0.012079725,0.0014811179,0.014505346,6.0874443,3.965654
95,0.0016155927,0.012050223,0.001472394,0.010782315,6.0808663,3.6073446
96,0.0016182612,0.012145826,0.0014297818,0.008972659,6.0984,3.4314098
97,0.0016145114,0.012140873,0.001452733,0.007965017,6.083035,3.3457346
98,0.001615459,0.012309699,0.001437672,0.010341673,6.1010184,3.5682576
99,0.0016092648,0.012129653,0.0014429599,0.012232716,6.078349,3.7451692
100,0.0016130764,0.012063673,0.0014512844,0.011170078,6.085111,3.6460965
101,0.0016077673,0.012170885,0.0014716887,0.013088743,6.086824,3.827961
102,0.0016042114,0.012213432,0.0014670496,0.013056824,6.086926,3.8280604
103,0.0016029937,0.01216692,0.0014650109,0.008994546,6.0801067,3.4403923
104,0.0016108553,0.012210906,0.0014312818,0.011092269,6.100667,3.6401515
