,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.024511896,0.046409767,0.0015125478,0.009444463,9.573179,3.51735
1,0.001707298,0.011628591,0.00151454,0.009767164,6.129129,3.5499668
2,0.0017110532,0.011711523,0.0015167822,0.010415702,6.135891,3.6103988
3,0.0017139558,0.01189199,0.0014880671,0.010467862,6.1543818,3.615439
4,0.0017122094,0.011938023,0.0014805667,0.010730433,6.159595,3.642021
5,0.001718137,0.012108483,0.0015078103,0.009016578,6.1789765,3.476066
6,0.0017176952,0.012238291,0.0015156054,0.011392644,6.188335,3.7083538
7,0.001715532,0.0121248085,0.0015122131,0.007852286,6.1772404,3.3691533
8,0.0017189531,0.012176521,0.0014885499,0.011217279,6.1804514,3.6904871
9,0.0017259635,0.012347758,0.0015308716,0.012740173,6.200425,3.8338675
10,0.0017243423,0.012278186,0.0015191915,0.012620256,6.19327,3.8229215
11,0.0017238625,0.0122499075,0.0014967595,0.012627274,6.1893177,3.8201754
12,0.0017300738,0.012569587,0.0015022296,0.0108977845,6.2227645,3.6568997
13,0.0017269704,0.012496189,0.0015052195,0.0091894185,6.215048,3.4950695
14,0.0017230299,0.012315244,0.0015136147,0.009826797,6.19966,3.5570145
15,0.0017233436,0.012281159,0.0014790995,0.00904682,6.193206,3.482671
16,0.0017293716,0.012654748,0.0015509638,0.010425252,6.2335668,3.6147048
17,0.0017258377,0.0123855835,0.0015461744,0.010777214,6.2034626,3.650891
18,0.0017213887,0.012325466,0.001512719,0.010851344,6.1984167,3.6585495
19,0.001724175,0.012305699,0.0014963779,0.011144624,6.192945,3.6808603
20,0.0017207807,0.012318859,0.0015487898,0.009438019,6.1964946,3.5207613
21,0.0017258428,0.01231357,0.0015308975,0.010010715,6.197734,3.5776467
22,0.001720026,0.012300089,0.0015203847,0.008070336,6.1947474,3.3882537
23,0.0017224397,0.0123200305,0.0015380353,0.008586021,6.197005,3.4416134
24,0.0017235762,0.012437357,0.0015343655,0.011751804,6.210775,3.7370849
25,0.0017184383,0.012390508,0.0015284335,0.014386139,6.206962,3.997231
26,0.0017287686,0.012538581,0.0015354803,0.0087472545,6.2207646,3.45371
27,0.0017181397,0.012247985,0.001575797,0.011128007,6.1901064,3.6819453
28,0.0017192286,0.012319016,0.0015253166,0.012209898,6.2018533,3.7867815
29,0.0017195542,0.012315693,0.0015425308,0.010876016,6.1965404,3.6563249
30,0.0017183494,0.012263008,0.0015366595,0.010564232,6.190572,3.62774
31,0.001723778,0.012111584,0.001512079,0.012058387,6.176936,3.7724276
32,0.0017261774,0.0123998495,0.0015236068,0.008845109,6.2061534,3.4675157
33,0.0017161072,0.012173174,0.0015326882,0.008699146,6.183336,3.450228
34,0.0017151479,0.01235664,0.0015049851,0.010087022,6.196378,3.5819633
35,0.001718275,0.012269208,0.0016101524,0.010588947,6.1943216,3.6329653
36,0.001719603,0.012248603,0.0015561444,0.013693732,6.1910605,3.925077
37,0.0017221358,0.012410704,0.0015330898,0.010014082,6.209198,3.5765052
38,0.0017136311,0.012220115,0.0015303732,0.012213776,6.188804,3.782293
39,0.0017177252,0.012231617,0.0015091747,0.010871597,6.1877503,3.6542354
40,0.0017196181,0.01236609,0.0015210874,0.012641405,6.2024403,3.828643
41,0.0017178392,0.0122411465,0.0015370562,0.011711605,6.1895146,3.7384508
42,0.0017107041,0.012156765,0.0014869164,0.0088578975,6.1806774,3.4595492
43,0.0017147274,0.012173435,0.0015410711,0.0118645895,6.1816974,3.7524447
44,0.0017146395,0.0121616395,0.0014961151,0.009376571,6.1808853,3.5146925
45,0.001718106,0.01233487,0.0014878567,0.0093830135,6.1953344,3.5129194
46,0.0017141261,0.012126767,0.0015244453,0.012894499,6.1785502,3.8508885
47,0.001714781,0.012215392,0.0015239323,0.012022721,6.1858096,3.7650318
48,0.0017119575,0.01215789,0.0015707307,0.008293774,6.1787643,3.4094582
49,0.001714109,0.012151897,0.0014965346,0.010590078,6.1799283,3.6290748
50,0.0017122591,0.012256925,0.001487117,0.0123005975,6.1883335,3.7927413
51,0.0017119735,0.012216503,0.0014935584,0.010120277,6.1838408,3.5802805
52,0.0017145613,0.0122977495,0.0015216795,0.011486929,6.194277,3.7136114
53,0.0017190619,0.01230852,0.0015088731,0.009909068,6.191018,3.5609167
54,0.0017068355,0.0122915525,0.0015371538,0.012225217,6.189059,3.7856412
55,0.0017086319,0.01216942,0.0014932003,0.009014125,6.1759515,3.4744868
56,0.0017031291,0.012327543,0.0014729222,0.009380916,6.186894,3.5093513
57,0.0017122788,0.012474804,0.0014825667,0.013436449,6.201347,3.897305
58,0.0017024094,0.012339649,0.0014973233,0.008813963,6.183859,3.4547312
59,0.00170422,0.012308306,0.0014971981,0.010693702,6.1766367,3.6352196
60,0.0016983078,0.012437727,0.0014767537,0.010067398,6.194908,3.5708306
61,0.001693186,0.012571604,0.0014758917,0.012264309,6.2024856,3.780638
62,0.0016882917,0.012568098,0.0014445053,0.009662098,6.202467,3.5267377
63,0.001684688,0.012601429,0.0015099178,0.012667636,6.1988454,3.8203564
64,0.0016862825,0.012602008,0.0014858501,0.009757889,6.1982846,3.5372252
65,0.0016819334,0.012401734,0.0014913206,0.012683813,6.1741166,3.8235335
66,0.0016887881,0.012430311,0.0015266525,0.010603865,6.1871266,3.6212661
67,0.0016870026,0.012501828,0.0014869183,0.009142336,6.1922293,3.4778476
68,0.0016813565,0.012521813,0.0015169772,0.012285095,6.1887507,3.7791855
69,0.0016779634,0.01253503,0.0015296201,0.008987898,6.1903567,3.4602358
70,0.001691005,0.012602558,0.0015111284,0.014208382,6.200484,3.9677732
71,0.001684303,0.01259646,0.0014365854,0.010125345,6.200613,3.5671227
72,0.0016808053,0.012524745,0.0014998605,0.009906683,6.186041,3.5477502
73,0.0016738158,0.012455796,0.0014979093,0.011240269,6.178284,3.6731381
74,0.0016804106,0.012508,0.0014909832,0.011827536,6.1864676,3.735411
75,0.0016813397,0.012464816,0.0015015445,0.00958276,6.184205,3.5298977
76,0.0016812916,0.012514581,0.0014778073,0.010391808,6.191229,3.5897508
77,0.0016880356,0.012465433,0.0014828664,0.01045815,6.184244,3.5984116
78,0.0016788137,0.012380299,0.0015033311,0.010260683,6.176614,3.5773845
79,0.0016792224,0.012536262,0.0014935873,0.009307461,6.192288,3.4969864
80,0.0016796972,0.01243654,0.0015052323,0.010649958,6.180683,3.6173036
81,0.0016755188,0.012470563,0.0014901008,0.008633089,6.1818347,3.4241838
82,0.0016742891,0.01250215,0.0014646655,0.011027189,6.183639,3.6526031
83,0.0016779989,0.01242106,0.0015220825,0.009788834,6.1782413,3.5329452
84,0.0016788519,0.01247035,0.0014631976,0.009079618,6.1837125,3.4669693
85,0.0016781474,0.012466572,0.0015088314,0.009567029,6.181601,3.5111043
86,0.0016754628,0.012346539,0.0015052245,0.009049331,6.1757607,3.4719644
87,0.001675257,0.012413782,0.0014344143,0.011041992,6.1790385,3.6503646
88,0.0016726438,0.012323869,0.0014984208,0.009576457,6.1651597,3.5113819
89,0.0016745375,0.012319977,0.0015025093,0.012629957,6.170472,3.8047204
90,0.0016759285,0.012476263,0.0014296504,0.009276545,6.187056,3.4827285
91,0.0016708123,0.012357152,0.0014544408,0.009314267,6.1717997,3.4898365
92,0.0016732793,0.012444185,0.0015099983,0.009473184,6.178896,3.517033
93,0.0016729208,0.012362475,0.0014707258,0.011843299,6.1716456,3.7306142
94,0.0016692285,0.0125024095,0.0014526154,0.009665314,6.175938,3.5177755
95,0.0016648428,0.01230308,0.001458231,0.011061017,6.1575823,3.6491957
96,0.0016682302,0.012346575,0.0014569451,0.011321432,6.1648254,3.6775804
97,0.0016666513,0.012500928,0.0014568337,0.012484482,6.17085,3.7896779
98,0.001659686,0.012427448,0.0014427312,0.011850304,6.154916,3.7268975
99,0.0016580784,0.012423848,0.0014684228,0.0105870655,6.1542783,3.6041853
100,0.0016532394,0.01241549,0.0014717957,0.010326695,6.1502047,3.5774064
101,0.0016530614,0.0123780705,0.0014245218,0.011943579,6.146106,3.7319326
102,0.0016571733,0.012575656,0.0014788377,0.009358136,6.1649876,3.4947042
103,0.0016472108,0.0124744885,0.001456101,0.009886375,6.147475,3.5310752
