,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.13319057,0.23040983,0.0042290897,0.022415895,29.230042,8.747888
1,0.0041972403,0.026048023,0.004275325,0.021660527,9.952562,8.653376
2,0.004170492,0.025481936,0.0039436757,0.020923393,9.892279,8.573782
3,0.0041758935,0.025202386,0.004122669,0.020174507,9.858373,8.476433
4,0.0041629625,0.024989644,0.003900858,0.018897958,9.838005,8.305243
5,0.004140795,0.02482841,0.003995711,0.018390369,9.815806,8.276454
6,0.0041473387,0.024702536,0.003936996,0.01922223,9.801213,8.304068
7,0.004120023,0.024575856,0.003909752,0.017638996,9.790594,8.158135
8,0.0040969737,0.02448216,0.003937603,0.018242188,9.782591,8.196435
9,0.004103878,0.024440134,0.0038727797,0.01795634,9.773209,8.16863
10,0.0041122846,0.024399804,0.0038951521,0.018732082,9.767959,8.238539
11,0.0041119116,0.024382694,0.0038208766,0.01842433,9.762262,8.188361
12,0.0041287774,0.02440835,0.0038551688,0.019184032,9.765957,8.284041
13,0.004113153,0.024322916,0.003693138,0.019846348,9.759277,8.32121
14,0.004161419,0.024362125,0.0038722544,0.018982355,9.757398,8.232216
15,0.0041263206,0.024337905,0.0038366385,0.018035801,9.754489,8.152239
16,0.00410903,0.024235938,0.0038529052,0.017902242,9.742615,8.151826
17,0.004131632,0.024278672,0.00392609,0.018632276,9.749987,8.200987
18,0.0041032806,0.024215428,0.003741609,0.018365365,9.73933,8.173075
19,0.0041118753,0.024220368,0.0037063498,0.018209036,9.737685,8.168235
20,0.004110308,0.024241878,0.0038284475,0.018406538,9.7405205,8.173067
21,0.004116797,0.024204776,0.003770416,0.018181907,9.736204,8.160143
22,0.0041361153,0.024274716,0.0038873933,0.018283715,9.74085,8.1672
23,0.004110207,0.024271002,0.0037508998,0.01817344,9.741427,8.1589775
24,0.004117964,0.024229774,0.003767257,0.018062763,9.740212,8.164311
25,0.004113945,0.024224618,0.0038540603,0.018368876,9.736542,8.165171
26,0.0041072243,0.024250388,0.003799743,0.01808745,9.744535,8.151389
27,0.004115573,0.024302214,0.0037678902,0.018640466,9.742769,8.157572
28,0.0040937117,0.024181373,0.0037909136,0.019438144,9.734913,8.270533
29,0.0041154046,0.024328077,0.003896038,0.01851016,9.743535,8.174166
30,0.0041123466,0.02416902,0.003804856,0.017886726,9.730976,8.108336
31,0.004142487,0.024323871,0.003912147,0.01856096,9.744885,8.149944
32,0.0041072196,0.024274949,0.0038182582,0.018260784,9.74146,8.14706
33,0.0041079945,0.024245748,0.0038037982,0.019145692,9.740493,8.239799
34,0.004123937,0.024327287,0.003831552,0.01931904,9.747225,8.236804
35,0.004115563,0.024286617,0.0038845858,0.019227842,9.743499,8.233936
36,0.0041186414,0.024254706,0.0038259355,0.018263724,9.7412815,8.14663
37,0.004144366,0.024255183,0.0038272508,0.0190293,9.741583,8.217241
38,0.0040998724,0.024288869,0.0037522197,0.019694896,9.744747,8.277843
39,0.0041061817,0.024251396,0.0036648766,0.0186542,9.739643,8.170052
40,0.004099819,0.02429026,0.0037536789,0.019716037,9.744252,8.269942
41,0.0041192826,0.024305817,0.0037474318,0.018827781,9.746075,8.191056
42,0.0041014734,0.024221841,0.0037423198,0.020191988,9.7369375,8.318401
43,0.0041461205,0.024378609,0.0039596423,0.019769533,9.750823,8.274705
44,0.0041129505,0.024335336,0.0037834048,0.01893236,9.745166,8.2118225
45,0.0041276105,0.024206148,0.0038319833,0.02033063,9.73602,8.3117285
46,0.004102184,0.024300134,0.0037849196,0.019575287,9.745528,8.252654
47,0.004125519,0.024260346,0.0037353327,0.020262085,9.7386265,8.310985
48,0.004110304,0.024283746,0.0037409693,0.018294062,9.744428,8.148453
49,0.004079442,0.024193147,0.0036735856,0.019455854,9.734861,8.261036
