loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.039363254,0.076424554,0.0037870617,0.02533699,14.94074,8.813795
0.004145917,0.02738701,0.0037484814,0.023475165,10.037032,8.599888
0.004102829,0.026436787,0.0037539543,0.022509016,9.93807,8.52961
0.0040829172,0.026012331,0.0037380173,0.022855666,9.878109,8.533195
0.004079334,0.02591607,0.003813349,0.021805733,9.866708,8.4262295
0.004054774,0.025627252,0.0038125182,0.025238937,9.81799,8.781125
0.0040450585,0.025616406,0.0037451799,0.022885289,9.816166,8.516659
0.0040440145,0.025626138,0.0037430113,0.02238004,9.814113,8.442346
0.004024828,0.02552003,0.0037044368,0.023524636,9.784344,8.473006
0.0040164385,0.025382208,0.003720931,0.022929903,9.745857,8.46714
0.0040026843,0.025531985,0.0036668375,0.022361016,9.754233,8.415109
0.00400296,0.025422862,0.0036453402,0.023487005,9.736557,8.482681
0.0039947,0.025463989,0.0037392094,0.022722326,9.720721,8.408753
0.0039706132,0.025276419,0.003712862,0.021121921,9.678856,8.234545
0.00395393,0.0251312,0.0036968153,0.024875512,9.677496,8.5980425
0.0039484384,0.025211679,0.0035848091,0.023773463,9.6543045,8.452829
0.0039472547,0.025194282,0.0036468345,0.02140965,9.647126,8.2374325
0.0039354116,0.025051335,0.003746827,0.020592645,9.643716,8.172201
0.00392547,0.024987206,0.0036037893,0.021568827,9.603012,8.256219
0.003929383,0.025076719,0.003577047,0.022355504,9.607517,8.316346
0.003921339,0.024902074,0.0036889943,0.021228528,9.594842,8.258838
0.003922497,0.024937479,0.0036586614,0.023704408,9.58831,8.463362
0.0039157723,0.02486359,0.0035552958,0.023674842,9.573816,8.392131
0.0039027869,0.02472907,0.003600884,0.021066386,9.548189,8.193105
0.003896264,0.024674896,0.0035308148,0.022084227,9.556852,8.262548
0.0038956334,0.02481013,0.0035843893,0.023054486,9.538954,8.336108
0.003893463,0.024671698,0.003569152,0.024531068,9.535629,8.502472
0.003895385,0.024755387,0.0036140056,0.022390293,9.54068,8.328631
0.003896032,0.024672326,0.003509973,0.023648199,9.539122,8.409855
0.0039000998,0.024594238,0.003594878,0.02344417,9.51522,8.419593
0.0038845863,0.024510065,0.003561986,0.021362187,9.516895,8.161094
0.0038728167,0.024446737,0.0035948271,0.020792438,9.469185,8.174034
0.0038747538,0.024467075,0.0035547852,0.023089549,9.492098,8.332167
0.0038839714,0.024576284,0.0035660402,0.021215325,9.508205,8.163822
0.0038926788,0.024503827,0.0036200145,0.022299986,9.490236,8.277013
0.0038683657,0.024273206,0.003590375,0.021421371,9.44366,8.176575
0.0038582168,0.024338419,0.0035724721,0.023999618,9.450034,8.373784
0.0038591956,0.024279539,0.0036043993,0.02312294,9.452553,8.304919
0.0038439655,0.024279518,0.0035799511,0.022224816,9.428317,8.196424
0.0038474153,0.02433087,0.0035320548,0.021712339,9.413062,8.165121
0.003860722,0.024332391,0.0035429727,0.02508173,9.437305,8.4858265
0.0038504042,0.024221491,0.0035234028,0.023082186,9.440654,8.310895
0.0038370935,0.024224075,0.0035245896,0.0224101,9.413936,8.239126
0.0038443704,0.024204208,0.0035942595,0.022414478,9.447668,8.234964
0.0038399117,0.02424234,0.0035064614,0.02132611,9.378518,8.129173
0.0038523083,0.024404038,0.0036020493,0.021852463,9.460247,8.20567
0.003835267,0.024358312,0.0034827106,0.022569265,9.44497,8.242518
0.0038330087,0.024281653,0.0035471153,0.025349801,9.395258,8.477326
0.003836384,0.02425548,0.003539346,0.022942448,9.409977,8.270492
0.0038369005,0.024267633,0.0035525898,0.023257859,9.42899,8.333984
0.003828049,0.024305908,0.0035363978,0.022936428,9.431155,8.30336
0.0038326313,0.024343068,0.0035248576,0.02122521,9.405425,8.113056
0.0038436966,0.024362894,0.0034846885,0.022676343,9.408161,8.245401
0.0038294815,0.024324762,0.0035392512,0.023114609,9.421059,8.282176
0.0038323798,0.02432012,0.0035490156,0.021572528,9.414334,8.129442
0.0038341717,0.024385015,0.003559743,0.020566821,9.436151,8.044898
