loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.04193171,0.07685461,0.004065286,0.024309449,14.953587,8.834677
0.0041164663,0.024450582,0.0039546955,0.019269304,9.750789,8.34808
0.0040915897,0.024291242,0.004047309,0.022167254,9.729905,8.600795
0.004103125,0.024233928,0.0038877656,0.0193916,9.728905,8.296546
0.004086874,0.024194032,0.003863467,0.019241754,9.718957,8.26728
0.0040860493,0.024160055,0.0038209015,0.017747559,9.722817,8.134552
0.004093786,0.024275897,0.003869264,0.018105289,9.72943,8.18644
0.0040969076,0.024415636,0.003950747,0.01839528,9.74742,8.24122
0.004107249,0.024655033,0.0038278296,0.020729577,9.764991,8.357716
0.004098253,0.024373086,0.0039112517,0.019573838,9.741449,8.3198595
0.004090632,0.02445565,0.0039052754,0.019863,9.749037,8.30064
0.0041112434,0.024614275,0.0038937223,0.022025682,9.767613,8.470738
0.004094499,0.024489382,0.0038117766,0.019669443,9.746118,8.299578
0.0040987656,0.024285257,0.0037967432,0.022102905,9.733506,8.500392
0.0040997695,0.024493484,0.0038523402,0.02214496,9.749621,8.451988
0.0040967776,0.024563175,0.0037847713,0.019023184,9.75917,8.197433
0.0040948084,0.024378514,0.003930349,0.02072854,9.736209,8.380674
0.0040894086,0.024419501,0.0037633558,0.019441295,9.745185,8.247823
0.0041002156,0.024382869,0.003758708,0.025351744,9.737321,8.740804
0.004092707,0.024679733,0.0037425472,0.024594093,9.767659,8.704445
0.004080293,0.024344256,0.0037710622,0.020928264,9.736632,8.380416
0.004091831,0.024578474,0.00380551,0.020809744,9.754048,8.404025
0.004086217,0.024518428,0.0037085311,0.021598853,9.753491,8.436754
0.004078901,0.024351329,0.0037367048,0.019712152,9.728866,8.278141
0.0040650335,0.02426337,0.0037775475,0.019422097,9.720326,8.165374
0.004055106,0.024271322,0.0038950578,0.020530755,9.7153225,8.339858
0.00403945,0.024144778,0.0037139708,0.017897835,9.681997,8.0264
0.0040089656,0.023989378,0.0036184702,0.01998258,9.653883,8.144276
0.0040216283,0.024213186,0.0036652738,0.024239307,9.670213,8.517328
0.0039979783,0.024122775,0.0036353057,0.02121508,9.656799,8.26718
0.00399092,0.023931488,0.003648766,0.018558003,9.635475,8.017596
0.003984218,0.023885146,0.003639349,0.022833012,9.628011,8.383528
0.0039678924,0.023857173,0.003578186,0.020769976,9.613774,8.194198
0.0039410647,0.02407588,0.0035898308,0.01942535,9.605786,8.115941
0.0039014493,0.023931004,0.0036140524,0.01880929,9.56442,8.050349
0.0038982523,0.02392485,0.0036269275,0.019045793,9.534999,8.06312
0.0038669715,0.023780175,0.0035313126,0.021788891,9.500703,8.187195
0.003850145,0.023744257,0.0035577088,0.020412372,9.479045,8.092493
0.0038181432,0.02347216,0.0036162492,0.018650182,9.42459,7.9403996
0.003791287,0.023380486,0.0034532386,0.018791113,9.399646,7.862867
0.0037665607,0.0232907,0.0035688947,0.020852894,9.355707,8.02305
0.0037562447,0.023449343,0.003502285,0.020294288,9.35569,8.005609
0.0037365966,0.023336256,0.0035367871,0.022524718,9.325205,8.201746
0.0037104208,0.02330057,0.0034757757,0.0184777,9.305717,7.769202
0.0037100331,0.023207238,0.0034693533,0.018642416,9.2824,7.798433
0.0036914528,0.023137597,0.0034565672,0.019176753,9.248278,7.831326
0.0036794741,0.02313469,0.0034773485,0.018344842,9.23887,7.7888327
0.003673806,0.023223918,0.0034159026,0.019343048,9.2398815,7.8388577
0.0036680575,0.023316223,0.0033830905,0.019356523,9.239719,7.8548503
0.0036680258,0.023227006,0.0034564019,0.019687507,9.241164,7.920502
0.0036514017,0.0231921,0.003400724,0.022292681,9.220631,8.133229
