,loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0,0.12038519,0.16040781,0.09532177,0.10971771,100.42689,48.200306
1,0.09337294,0.12003814,0.092934296,0.11152391,96.16294,47.593925
2,0.092060775,0.119078256,0.09430675,0.10919824,94.96032,47.31661
3,0.09146127,0.11861803,0.092629455,0.105290495,93.21566,46.70616
4,0.09086786,0.118129246,0.08876837,0.10861583,93.95183,46.854885
5,0.09040453,0.11770241,0.09076885,0.103429176,92.659325,46.16344
6,0.08999955,0.11743054,0.089027554,0.1039415,92.86956,46.430996
7,0.08931317,0.11687083,0.0918823,0.10572739,93.149445,46.669456
8,0.08913106,0.116910346,0.08978678,0.10472016,91.73889,46.572884
9,0.08886261,0.11658189,0.08667075,0.10745655,92.82239,46.2265
