,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
0,1.1356838,8.344559,8.3047695,9.041255,13.892379,14.864243,14.056951,12.943195,11.817668,11.595966,10.810798,10.117737,9.531773,9.06237,8.617405,8.229771
1,3.25323,8.380772,8.319812,9.055264,13.901436,14.867887,14.058253,12.945049,11.819546,11.596358,10.812112,10.118936,9.532833,9.0630245,8.6182,8.230465
2,3.316359,8.404723,8.323247,9.06939,13.910496,14.872237,14.059827,12.947298,11.82181,11.596835,10.81373,10.120382,9.534041,9.063283,8.619198,8.231273
3,3.380436,8.45329,8.331589,9.083431,13.919456,14.876711,14.061434,12.949528,11.8240595,11.597315,10.8153715,10.121844,9.535264,9.0639305,8.620167,8.232105
4,3.4136128,8.482668,8.34111,9.097402,13.928378,14.881191,14.063049,12.951736,11.826302,11.5978,10.817011,10.123306,9.536529,9.064985,8.6210785,8.232959
5,3.4696145,8.493257,8.345656,9.111376,13.937353,14.885599,14.064686,12.954008,11.828589,11.598296,10.818659,10.124798,9.537734,9.066036,8.622045,8.233815
6,3.67998,8.494491,8.356264,9.125389,13.946345,14.89003,14.066287,12.956307,11.830856,11.598777,10.820204,10.126259,9.538977,9.067032,8.622998,8.234659
7,3.8447616,8.517407,8.377467,9.1391945,13.955384,14.894509,14.067855,12.958499,11.833153,11.599291,10.821856,10.127722,9.540196,9.068104,8.623991,8.235535
8,3.9349306,8.520759,8.384787,9.153335,13.964442,14.899019,14.069474,12.960717,11.835445,11.599774,10.823466,10.129159,9.54146,9.069155,8.624935,8.236433
9,4.154685,8.520911,8.393684,9.16746,13.973472,14.903528,14.071102,12.96296,11.837808,11.600277,10.82515,10.130607,9.54272,9.070204,8.625892,8.237281
10,4.585142,8.528726,8.404878,9.181261,13.982461,14.907972,14.072688,12.965195,11.840057,11.600785,10.826743,10.132084,9.543991,9.071252,8.626889,8.238166
11,4.6595654,8.539419,8.414437,9.195128,13.991451,14.912405,14.074325,12.967448,11.842334,11.601289,10.828394,10.133513,9.545181,9.072296,8.627875,8.239
12,5.2620053,8.540251,8.435572,9.208803,14.000351,14.916841,14.075947,12.969637,11.844638,11.601775,10.830025,10.134989,9.5464525,9.07332,8.628886,8.239869
13,5.777343,8.556112,8.442473,9.222559,14.009241,14.921381,14.077506,12.971885,11.846948,11.602259,10.831675,10.136431,9.547678,9.074356,8.629868,8.240731
14,5.8590064,8.562642,8.462352,9.234099,14.01659,14.925843,14.079139,12.974155,11.849232,11.60274,10.833335,10.137951,9.548962,9.074774,8.63085,8.241614
15,6.0560884,8.56443,8.463762,9.247838,14.0255165,14.930317,14.0807295,12.9764,11.851543,11.603213,10.8349905,10.139385,9.550192,9.074867,8.631876,8.242461
16,6.0655465,8.5667095,8.464383,9.261541,14.034522,14.9306555,14.080863,12.976588,11.851732,11.603247,10.835132,10.139499,9.550302,9.075479,8.631942,8.242539
17,6.373832,8.58796,8.477263,9.275421,14.043331,14.93528,14.082421,12.978866,11.854063,11.603763,10.836823,10.140962,9.551573,9.075948,8.632966,8.243446
18,6.797478,8.608232,8.488621,9.289144,14.052207,14.939825,14.084009,12.981127,11.856422,11.604301,10.83847,10.14246,9.552875,9.077055,8.634021,8.244346
19,7.536945,8.614319,8.502952,9.303004,14.061061,14.944324,14.085596,12.983449,11.858779,11.60482,10.840173,10.143959,9.554143,9.07815,8.6350565,8.24519
20,7.6768374,8.618556,8.505788,9.3168,14.070067,14.948925,14.087194,12.985758,11.861043,11.605328,10.841825,10.145522,9.555378,9.079321,8.636077,8.246096
21,8.02019,8.63167,8.511389,9.330683,14.078952,14.953437,14.088826,12.988073,11.863382,11.605838,10.843476,10.14708,9.556676,9.080437,8.637121,8.247006
22,8.775427,8.662835,8.649576,9.344514,14.087809,14.958064,14.090432,12.99035,11.865688,11.606336,10.845174,10.148639,9.557919,9.081562,8.638149,8.247956
23,8.8206835,8.66991,8.668593,9.358098,14.096565,14.962741,14.092041,12.992636,11.86805,11.606852,10.846904,10.150148,9.559231,9.082666,8.639155,8.24885
24,8.826195,8.670221,8.680514,9.3717985,14.105441,14.967266,14.093693,12.994932,11.870427,11.607362,10.848619,10.151618,9.560511,9.0837965,8.640183,8.249785
25,8.837075,8.689234,8.6833315,9.385481,14.114183,14.971787,14.095341,12.997161,11.872813,11.607846,10.850279,10.153129,9.561794,9.08492,8.641165,8.25066
26,8.841414,8.699706,8.686078,9.399059,14.122934,14.976411,14.09698,12.9994545,11.87513,11.608375,10.851933,10.154582,9.563081,9.086051,8.642187,8.251548
27,8.866053,8.722595,8.686215,9.4126005,14.131661,14.981016,14.0985775,13.001769,11.877516,11.608904,10.853591,10.1560955,9.564351,9.087136,8.643217,8.252457
28,8.8746395,8.741519,8.697636,9.426259,14.140459,14.985614,14.100213,13.004069,11.879857,11.609419,10.855335,10.157563,9.565658,9.088265,8.644283,8.253354
29,8.9286375,8.751032,8.7101755,9.43744,14.147732,14.9900875,14.101834,13.006365,11.882242,11.609923,10.857067,10.159081,9.566923,9.0893755,8.645309,8.254273
30,8.930484,8.763124,8.722061,9.451193,14.156513,14.994657,14.103486,13.008725,11.884599,11.610429,10.858728,10.160568,9.568215,9.090492,8.646337,8.255156
31,8.934607,8.7648535,8.724905,9.464684,14.165321,14.999245,14.105111,13.011011,11.88694,11.610941,10.860414,10.162112,9.5695095,9.091619,8.647347,8.256055
32,8.953061,8.783229,8.7298155,9.478312,14.174114,15.003842,14.106741,13.013343,11.889312,11.611481,10.862158,10.163674,9.5708,9.092713,8.64838,8.256989
33,8.978771,8.785025,8.771938,9.491991,14.182891,15.008517,14.108314,13.015674,11.8917055,11.611996,10.863884,10.165192,9.5720825,9.093889,8.649435,8.257888
34,8.984581,8.79507,8.83401,9.505667,14.19172,15.013102,14.109928,13.017942,11.894071,11.612506,10.865579,10.166717,9.573363,9.0950365,8.6504345,8.258785
35,8.990036,8.796163,8.837127,9.519205,14.200482,15.017757,14.111559,13.02025,11.896432,11.613035,10.867291,10.1682005,9.574664,9.096217,8.651467,8.259686
36,9.024562,8.810282,8.84541,9.532749,14.209296,15.022502,14.113214,13.022572,11.898834,11.61357,10.86897,10.169729,9.575946,9.097324,8.652534,8.260614
37,9.02611,8.813505,8.861521,9.546217,14.218053,15.026356,14.114546,13.024522,11.900855,11.614003,10.870425,10.171045,9.57703,9.098268,8.653416,8.261387
38,9.035457,8.830255,8.873927,9.559592,14.226828,15.031079,14.116176,13.026886,11.903256,11.614529,10.8721695,10.172615,9.578365,9.099427,8.65445,8.262343
39,9.106087,8.831002,9.027096,9.57285,14.235574,15.035789,14.117842,13.02926,11.905673,11.615048,10.873907,10.174164,9.579711,9.100588,8.655494,8.263241
40,9.112326,8.849482,9.039138,9.586121,14.244297,15.040469,14.119452,13.031632,11.908116,11.615595,10.87561,10.175751,9.581024,9.101726,8.656567,8.264157
41,9.162741,8.852322,9.058237,9.599499,14.253086,15.045178,14.121145,13.034032,11.910536,11.61614,10.877323,10.177315,9.582371,9.102857,8.657636,8.265105
42,9.238369,8.8544855,9.073951,9.612873,14.261829,15.04989,14.122806,13.036363,11.912979,11.616705,10.8790655,10.178836,9.5837,9.103987,8.65871,8.266042
43,9.245928,8.858719,9.0918865,9.626126,14.270569,15.054617,14.124473,13.038675,11.915376,11.617257,10.880813,10.180374,9.585045,9.105101,8.659776,8.266979
44,9.282744,8.858784,9.110057,9.6370735,14.277749,15.059325,14.126128,13.041037,11.917797,11.61781,10.882564,10.181962,9.586378,9.106213,8.66084,8.267877
45,9.322207,8.867779,9.131951,9.650594,14.286481,15.064062,14.127805,13.043399,11.920241,11.618367,10.884318,10.18353,9.587689,9.107353,8.661934,8.268796
46,9.330407,8.869027,9.147518,9.663924,14.295294,15.068765,14.129497,13.045757,11.922658,11.618924,10.886055,10.185078,9.589,9.108512,8.66297,8.269742
47,9.331921,8.876749,9.1636305,9.677255,14.304067,15.073538,14.131149,13.048128,11.925108,11.61949,10.887805,10.186646,9.590317,9.109556,8.66406,8.270677
48,9.389705,8.88178,9.185769,9.6905985,14.312784,15.078254,14.132807,13.050492,11.927548,11.620038,10.88953,10.188217,9.591624,9.11072,8.665099,8.2716255
49,9.404906,8.884132,9.206783,9.703891,14.321532,15.082996,14.134452,13.052889,11.929969,11.620589,10.891281,10.189773,9.592959,9.111858,8.666162,8.272564
50,9.452244,8.902298,9.223544,9.717233,14.330231,15.0877495,14.13611,13.0552635,11.9323845,11.621135,10.893031,10.191335,9.594279,9.113009,8.6672125,8.273478
51,9.484939,8.906655,9.241915,9.730526,14.339036,15.092466,14.137801,13.057612,11.934782,11.621686,10.894797,10.192917,9.595604,9.114128,8.668293,8.274427
52,9.52315,8.909089,9.254567,9.743992,14.347675,15.096229,14.139176,13.059495,11.936687,11.622071,10.896169,10.194094,9.59663,9.114935,8.669063,8.275065
53,9.551999,8.910077,9.255568,9.757244,14.356469,15.100726,14.140835,13.061736,11.938976,11.622509,10.8977585,10.195526,9.597824,9.115942,8.669985,8.275881
54,9.563426,8.918446,9.257941,9.770338,14.3651285,15.105238,14.142486,13.063953,11.941199,11.622937,10.899364,10.196933,9.599024,9.116028,8.670865,8.276678
55,9.58512,8.9201145,9.261443,9.783585,14.373775,15.1097555,14.144143,13.066182,11.9435,11.6234255,10.900982,10.198324,9.600233,9.116899,8.671751,8.277486
56,9.608148,8.921404,9.261966,9.796783,14.382405,15.114263,14.145761,13.06843,11.945777,11.623886,10.902572,10.199794,9.601443,9.116965,8.6726465,8.278263
57,9.625851,8.922584,9.266835,9.809989,14.391067,15.118833,14.147449,13.070666,11.948017,11.6243515,10.904166,10.201174,9.602627,9.118002,8.673533,8.279031
58,9.656735,8.922775,9.270322,9.823108,14.399659,15.123352,14.1490965,13.072909,11.950302,11.624781,10.905842,10.202626,9.60385,9.119056,8.674483,8.27978
59,9.678199,8.925967,9.273233,9.834121,14.406814,15.12787,14.150745,13.075125,11.952614,11.625233,10.907488,10.204081,9.605078,9.120064,8.675413,8.280584
60,9.678536,8.927197,9.277816,9.847396,14.415475,15.13234,14.152358,13.077365,11.954885,11.625706,10.90912,10.205519,9.606282,9.121112,8.676379,8.281393
61,9.706233,8.928403,9.278488,9.860453,14.4240465,15.136848,14.154053,13.079628,11.957168,11.626197,10.910752,10.207016,9.607515,9.122185,8.677288,8.28222
62,9.711192,8.932352,9.279786,9.873475,14.432666,15.141351,14.1557045,13.081891,11.959403,11.6267,10.912355,10.208434,9.608763,9.123211,8.678241,8.2830515
63,9.716965,8.942779,9.283766,9.886426,14.441302,15.145903,14.1573305,13.084167,11.961734,11.627193,10.913998,10.20988,9.609996,9.124161,8.67919,8.283869
64,9.716971,8.953836,9.284204,9.89956,14.450078,15.150468,14.1589985,13.086485,11.964057,11.627658,10.9156,10.211289,9.611244,9.125029,8.6801195,8.284703
65,9.733622,8.959227,9.288714,9.912508,14.45873,15.155059,14.160725,13.088747,11.966315,11.628133,10.917198,10.212725,9.612464,9.126025,8.681053,8.285521
66,9.737234,8.961828,9.2969,9.925667,14.4674015,15.159606,14.16235,13.090992,11.968644,11.628603,10.918788,10.214164,9.613701,9.126919,8.681987,8.286324
67,9.738038,8.962045,9.308519,9.938688,14.47593,15.16345,14.163629,13.092829,11.970629,11.629015,10.920137,10.215358,9.614707,9.127633,8.6827755,8.287043
68,9.739657,8.962064,9.311671,9.9517,14.484489,15.167953,14.165126,13.095052,11.973001,11.629488,10.921715,10.216735,9.615952,9.128651,8.68375,8.287891
