,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
0,0.009318129,0.021754913,0.022182705,0.022690259,0.06888173,0.088346325,0.08634758,0.08147933,0.07538518,0.07538746,0.07213287,0.068108894,0.064712614,0.061855633,0.059167106,0.056869607
1,0.014107127,0.021768844,0.022185335,0.022824518,0.068967074,0.088364914,0.08635094,0.081487715,0.07539548,0.07538922,0.072140224,0.068115965,0.064719014,0.061861314,0.059171934,0.05687376
2,0.014802121,0.021775777,0.022191687,0.022958245,0.069052204,0.088386826,0.086354986,0.081497945,0.07540788,0.0753912,0.07214937,0.068124495,0.064726025,0.06186773,0.059178058,0.056878526
3,0.015532262,0.021788975,0.022204902,0.023092374,0.06913749,0.08840996,0.08635927,0.081507966,0.07542015,0.075393,0.07215873,0.06813317,0.06473319,0.061874654,0.059183996,0.056883533
4,0.015616122,0.021842396,0.022222854,0.023226349,0.06922278,0.08843312,0.08636367,0.081517786,0.07543233,0.07539499,0.07216809,0.06814183,0.064740755,0.061881065,0.05918937,0.056888714
5,0.015950793,0.021911006,0.02223727,0.023359304,0.06930748,0.088455565,0.08636827,0.08152821,0.07544496,0.07539709,0.07217754,0.06815078,0.064747736,0.061887234,0.05919527,0.056893896
6,0.015992414,0.021939375,0.022250997,0.023492664,0.06939206,0.08847824,0.08637254,0.08153889,0.07545738,0.075399175,0.07218593,0.06815944,0.06475509,0.061893873,0.05920098,0.056898955
7,0.016144145,0.021962464,0.022259114,0.023625275,0.069477364,0.08850137,0.08637649,0.08154855,0.07547008,0.07540114,0.07219538,0.06816812,0.06476221,0.061900247,0.059207108,0.056904335
8,0.016147906,0.021972701,0.02227402,0.023757989,0.06956167,0.08852479,0.086380914,0.08155843,0.07548274,0.075403415,0.07220444,0.06817653,0.06476976,0.061906528,0.05921281,0.05690994
9,0.016973874,0.02197432,0.022298282,0.023890328,0.06964688,0.08854816,0.0863854,0.081568606,0.07549608,0.0754053,0.07221419,0.06818504,0.06477727,0.061912723,0.059218552,0.056915037
10,0.017025886,0.021984983,0.02230171,0.024022566,0.06973154,0.08857091,0.08638956,0.08157867,0.07550831,0.07540751,0.07222307,0.06819385,0.064784884,0.06191894,0.059224695,0.056920473
11,0.017056681,0.022048928,0.022317015,0.024154874,0.06981568,0.08859349,0.08639419,0.0815889,0.0755208,0.07540945,0.072232515,0.06820218,0.0647917,0.06192508,0.059230737,0.056925457
12,0.017155394,0.022054357,0.022327954,0.024286952,0.069899715,0.08861611,0.08639871,0.08159849,0.07553355,0.07541154,0.07224174,0.06821097,0.06479932,0.061931163,0.059237044,0.056930758
13,0.018468838,0.022109061,0.022356343,0.024418388,0.06998411,0.08863975,0.08640258,0.08160864,0.07554635,0.07541372,0.07225116,0.06821942,0.06480649,0.061937287,0.059243035,0.056935992
14,0.018746104,0.0221283,0.022360528,0.024527045,0.07005347,0.08866261,0.08640712,0.08161902,0.07555891,0.075415425,0.072260685,0.068228655,0.06481423,0.06194412,0.05924903,0.056941446
15,0.019341487,0.022145757,0.022385942,0.024658203,0.070136696,0.08868558,0.08641124,0.081629135,0.07557173,0.07541726,0.072270155,0.06823702,0.06482144,0.06195047,0.059255432,0.05694653
16,0.01941594,0.022162125,0.022395238,0.02478954,0.07022015,0.08868727,0.08641165,0.08163004,0.0755728,0.07541899,0.07227101,0.068237685,0.06482212,0.06195106,0.059255797,0.056947038
17,0.020042418,0.022200834,0.022405423,0.02492051,0.070304535,0.088711664,0.08641553,0.08164046,0.075585805,0.07542063,0.07228083,0.068246335,0.06482974,0.061957516,0.05926221,0.056952707
18,0.02049199,0.0222346,0.02242415,0.025051113,0.07038774,0.08873527,0.08641972,0.08165072,0.075599074,0.075422466,0.07229022,0.06825532,0.064837635,0.061964236,0.05926886,0.0569583
19,0.021002062,0.022237452,0.02242826,0.025181297,0.070471235,0.08875841,0.08642379,0.081661545,0.0756123,0.075424604,0.07230012,0.06826433,0.06484522,0.061971065,0.059275337,0.056963347
20,0.02141023,0.022250272,0.022438526,0.025311785,0.07055436,0.08878255,0.08642807,0.08167225,0.07562463,0.07542655,0.072309546,0.068273954,0.06485247,0.06197848,0.0592817,0.05696898
