,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
0,0.050868094,0.12072779,0.12321407,0.12556125,0.2059582,0.20564736,0.205724,0.23658079,0.22882341,0.22888951,0.24806544,0.23865464,0.23075485,0.22239608,0.21532273,0.20926245
1,0.07963207,0.120811895,0.12325696,0.12578355,0.20597497,0.2056653,0.2058035,0.23658518,0.22884218,0.22895275,0.2480801,0.23867199,0.23077182,0.2224151,0.21533608,0.20927382
2,0.08371519,0.12083843,0.12325953,0.12601547,0.20599148,0.20568429,0.20587578,0.23658529,0.22886498,0.22901721,0.24809931,0.23869316,0.23078807,0.22243549,0.21535353,0.20928653
3,0.08793988,0.12088229,0.12334397,0.12624237,0.2060001,0.20570996,0.20595263,0.2365887,0.22888699,0.22908027,0.24811918,0.23871487,0.23080556,0.22245868,0.2153702,0.20930022
4,0.08802439,0.12120428,0.123415425,0.1264642,0.20600863,0.20573586,0.20602734,0.23659281,0.22890839,0.2291446,0.2481392,0.23873648,0.23082505,0.22247855,0.21538424,0.20931499
5,0.088852525,0.12160446,0.12349763,0.12668334,0.20602468,0.20575757,0.20610543,0.23659612,0.22893241,0.22920932,0.24815987,0.23875979,0.23084132,0.22249734,0.21540104,0.2093297
6,0.09003612,0.12175049,0.12356457,0.12690827,0.20604467,0.20578001,0.20618232,0.2365971,0.22895531,0.22927405,0.24817446,0.23878147,0.23085965,0.22251898,0.21541615,0.20934385
7,0.09074444,0.12184484,0.123621196,0.1271208,0.20606597,0.20580554,0.20626074,0.2365994,0.22897916,0.22933818,0.24819496,0.2388034,0.23087667,0.22253881,0.21543403,0.20936014
8,0.09105068,0.12186042,0.123704225,0.12736309,0.20608868,0.20583293,0.20634241,0.23660058,0.22900331,0.22940439,0.24821378,0.23882364,0.230896,0.22255841,0.2154492,0.20937745
9,0.094058596,0.12193954,0.123822734,0.12760064,0.20611535,0.20585988,0.20642097,0.23660408,0.22903122,0.2294682,0.24823612,0.23884445,0.23091516,0.22257748,0.21546453,0.2093919
10,0.094750494,0.12200028,0.123856075,0.12781726,0.20613618,0.20588264,0.20649846,0.23660412,0.22905268,0.22953382,0.24825336,0.23886707,0.23093462,0.22259662,0.21548218,0.2094079
11,0.09524238,0.12226278,0.12391261,0.12803897,0.20615728,0.20590504,0.20657833,0.2366046,0.2290758,0.22959742,0.24827382,0.2388867,0.23094983,0.22261538,0.21549939,0.2094216
12,0.09687226,0.122402236,0.123991765,0.12824507,0.20617005,0.20592713,0.20665438,0.23660642,0.22910023,0.22966206,0.24829286,0.23890889,0.23096952,0.22263345,0.2155181,0.20943703
13,0.103905015,0.12268334,0.12414566,0.12845841,0.20618522,0.20595509,0.20673233,0.2366081,0.22912496,0.22972675,0.24831323,0.23892935,0.2309867,0.2226518,0.21553472,0.20945227
14,0.10512287,0.122690886,0.124146156,0.12864985,0.20619722,0.2059789,0.20679349,0.2366085,0.22914852,0.22977996,0.24833404,0.23895413,0.23100714,0.22267435,0.21555154,0.20946845
15,0.10835643,0.12286266,0.124292046,0.12886384,0.20621361,0.20600271,0.20687099,0.23660903,0.22917321,0.22984336,0.2483546,0.23897408,0.2310245,0.22269452,0.21557082,0.20948265
16,0.10853346,0.12289201,0.12433499,0.1290858,0.20623969,0.20600395,0.20694885,0.23660964,0.22917552,0.22990642,0.24835688,0.23897563,0.23102653,0.22269662,0.21557151,0.20948438
17,0.111993976,0.12306984,0.12438732,0.12931499,0.2062501,0.20603552,0.2070264,0.23661014,0.22920123,0.22996844,0.24837935,0.23899691,0.23104613,0.22271727,0.21559075,0.20950171
18,0.11410256,0.123238444,0.12449869,0.12952961,0.2062623,0.20606284,0.20710665,0.2366115,0.22922829,0.2300318,0.24839938,0.2390201,0.23106718,0.22273904,0.21561107,0.20951878
19,0.117139295,0.123300456,0.124499485,0.12975776,0.20627765,0.20608768,0.20718749,0.23661229,0.22925507,0.23009698,0.24842228,0.23904356,0.23108654,0.22276188,0.21563026,0.20953281
20,0.119325176,0.12339681,0.12456332,0.12998345,0.20630582,0.20611751,0.20726402,0.2366124,0.22927701,0.23016083,0.24844235,0.2390704,0.23110397,0.22278793,0.21564911,0.20955002
21,0.12181972,0.12382683,0.12463403,0.13022058,0.20632264,0.20614283,0.20734347,0.23661278,0.2293026,0.23022361,0.24846259,0.23909713,0.23112504,0.22281152,0.21566883,0.20956746
22,0.12242549,0.123890124,0.12475371,0.13045172,0.20633753,0.20617343,0.20741981,0.23661397,0.22932655,0.23028784,0.24848527,0.23912373,0.23114304,0.22283408,0.21568793,0.20958708
23,0.12363788,0.12410425,0.1247634,0.13066106,0.20634584,0.20620723,0.20749564,0.23661523,0.22935353,0.2303513,0.24850966,0.23914765,0.23116466,0.22285688,0.21570623,0.20960355
24,0.12374079,0.124304675,0.12486085,0.1308816,0.20636645,0.20623206,0.20757487,0.23661765,0.2293812,0.23041685,0.2485331,0.23916914,0.2311844,0.2228808,0.21572502,0.2096223
25,0.12419314,0.12430474,0.124950014,0.13110693,0.20637472,0.20625651,0.2076538,0.23661818,0.22940944,0.2304795,0.24855348,0.23919313,0.23120438,0.2229037,0.21574177,0.20963812
